INFO:gensim.models.word2vec:collecting all words and their counts
INFO:gensim.models.word2vec:PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #10000, processed 400826 words, keeping 269 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #20000, processed 801597 words, keeping 269 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #30000, processed 1202307 words, keeping 269 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #40000, processed 1603045 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #50000, processed 2003820 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #60000, processed 2404657 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #70000, processed 2805401 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #80000, processed 3206079 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #90000, processed 3606893 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #100000, processed 4007578 words, keeping 270 word types
INFO:gensim.models.word2vec:PROGRESS: at sentence #110000, processed 4408364 words, keeping 270 word types
INFO:gensim.models.word2vec:collected 270 word types from a corpus of 4643403 raw words and 115865 sentences
INFO:gensim.models.word2vec:Creating a fresh vocabulary
INFO:gensim.utils:Word2Vec lifecycle event {'msg': 'effective_min_count=5 retains 269 unique words (99.63% of original 270, drops 1)', 'datetime': '2023-11-06T20:48:59.422115', 'gensim': '4.3.2', 'python': '3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22621-SP0', 'event': 'prepare_vocab'}
INFO:gensim.utils:Word2Vec lifecycle event {'msg': 'effective_min_count=5 leaves 4643399 word corpus (100.00% of original 4643403, drops 4)', 'datetime': '2023-11-06T20:48:59.422115', 'gensim': '4.3.2', 'python': '3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22621-SP0', 'event': 'prepare_vocab'}
INFO:gensim.models.word2vec:deleting the raw counts dictionary of 270 items
INFO:gensim.models.word2vec:sample=0.001 downsamples 97 most-common words
INFO:gensim.utils:Word2Vec lifecycle event {'msg': 'downsampling leaves estimated 2379141.70249999 word corpus (51.2%% of prior 4643399)', 'datetime': '2023-11-06T20:48:59.427126', 'gensim': '4.3.2', 'python': '3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22621-SP0', 'event': 'prepare_vocab'}
INFO:gensim.models.word2vec:estimated required memory for 269 words and 256 dimensions: 685412 bytes
INFO:gensim.models.word2vec:resetting layer weights
INFO:gensim.utils:Word2Vec lifecycle event {'update': False, 'trim_rule': 'None', 'datetime': '2023-11-06T20:48:59.433735', 'gensim': '4.3.2', 'python': '3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22621-SP0', 'event': 'build_vocab'}
INFO:gensim.utils:Word2Vec lifecycle event {'msg': 'training model with 3 workers on 269 vocabulary and 256 features, using sg=1 hs=0 sample=0.001 negative=5 window=40 shrink_windows=True', 'datetime': '2023-11-06T20:48:59.433735', 'gensim': '4.3.2', 'python': '3.11.6 (tags/v3.11.6:8b6ee5b, Oct  2 2023, 14:57:12) [MSC v.1935 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.22621-SP0', 'event': 'train'}
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 2.79% examples, 63523 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 94.34% examples, 69913 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0 - PROGRESS: at 97.35% examples, 69854 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 0: training on 4643403 raw words (2380356 effective words) took 34.0s, 69999 effective words/s
INFO:root:Loss after epoch 0: 40704712.0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 2.58% examples, 57816 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 5.16% examples, 59505 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 6.66% examples, 51426 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 8.16% examples, 45658 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 9.67% examples, 42814 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 10.96% examples, 40578 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 12.46% examples, 39347 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 13.97% examples, 38155 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 15.26% examples, 37202 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 16.76% examples, 36742 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 18.26% examples, 36041 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 19.77% examples, 35645 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 21.27% examples, 35355 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 22.78% examples, 35108 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 24.07% examples, 34816 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 25.57% examples, 34535 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 27.08% examples, 34394 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 28.58% examples, 34208 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 30.08% examples, 34074 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 31.37% examples, 33899 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 32.88% examples, 33768 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 34.17% examples, 33626 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 35.46% examples, 33451 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 36.96% examples, 33361 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 38.46% examples, 33290 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 39.97% examples, 33194 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 41.47% examples, 33195 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 42.76% examples, 33020 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 44.27% examples, 32958 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 45.77% examples, 32904 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 47.27% examples, 32880 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 49.21% examples, 33240 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 52.00% examples, 34085 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 55.01% examples, 34996 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 57.81% examples, 35791 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 60.60% examples, 36542 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 63.39% examples, 37263 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 66.19% examples, 37878 words/s, in_qsize 0, out_qsize 1
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 69.20% examples, 38631 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 71.99% examples, 39245 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 74.57% examples, 39715 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 76.93% examples, 40015 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 79.30% examples, 40303 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 81.66% examples, 40541 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 84.02% examples, 40805 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 86.17% examples, 41007 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 88.75% examples, 41319 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 91.12% examples, 41570 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 93.48% examples, 41825 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 95.63% examples, 41996 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1 - PROGRESS: at 97.99% examples, 42238 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 1: training on 4643403 raw words (2379624 effective words) took 56.1s, 42455 effective words/s
INFO:root:Loss after epoch 1: 26497240.0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 2.36% examples, 52249 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 4.94% examples, 56459 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 7.52% examples, 57791 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 10.10% examples, 57822 words/s, in_qsize 0, out_qsize 1
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 13.32% examples, 61055 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 16.33% examples, 62335 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 19.55% examples, 64085 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 22.56% examples, 64474 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 25.57% examples, 64605 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 28.58% examples, 65095 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 32.02% examples, 66120 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 35.24% examples, 66761 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 38.46% examples, 67104 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 41.69% examples, 67553 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 44.91% examples, 67984 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 47.92% examples, 68062 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 51.14% examples, 68280 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 54.37% examples, 68705 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 57.38% examples, 68851 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 60.38% examples, 68877 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 63.61% examples, 69152 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 66.62% examples, 69214 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 69.84% examples, 69395 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 72.85% examples, 69445 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 75.64% examples, 69315 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 78.87% examples, 69493 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 81.87% examples, 69439 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 84.67% examples, 69233 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 87.68% examples, 69222 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 90.69% examples, 69273 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 93.69% examples, 69328 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 96.70% examples, 69344 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2 - PROGRESS: at 99.50% examples, 69105 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 2: training on 4643403 raw words (2379338 effective words) took 34.4s, 69266 effective words/s
INFO:root:Loss after epoch 2: 690872.0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 2.79% examples, 63221 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 5.80% examples, 67194 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 8.81% examples, 67626 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 11.82% examples, 68432 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 14.83% examples, 68869 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 17.83% examples, 68881 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 20.84% examples, 69157 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 24.07% examples, 69993 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 27.08% examples, 69684 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 30.08% examples, 69768 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 33.09% examples, 69873 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 36.32% examples, 70073 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 39.32% examples, 70124 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 42.33% examples, 69998 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 45.34% examples, 70063 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 48.56% examples, 70225 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 51.57% examples, 70168 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 54.58% examples, 70166 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 56.73% examples, 69021 words/s, in_qsize 3, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 59.31% examples, 68534 words/s, in_qsize 5, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 62.32% examples, 68352 words/s, in_qsize 5, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 65.11% examples, 68173 words/s, in_qsize 5, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 67.91% examples, 68097 words/s, in_qsize 5, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 70.91% examples, 68214 words/s, in_qsize 4, out_qsize 1
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 73.71% examples, 68113 words/s, in_qsize 4, out_qsize 1
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 76.93% examples, 68336 words/s, in_qsize 4, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 79.73% examples, 68130 words/s, in_qsize 5, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 82.73% examples, 67973 words/s, in_qsize 5, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 85.74% examples, 68045 words/s, in_qsize 5, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 88.75% examples, 67749 words/s, in_qsize 6, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 91.55% examples, 67707 words/s, in_qsize 5, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 94.77% examples, 67610 words/s, in_qsize 5, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3 - PROGRESS: at 97.78% examples, 67549 words/s, in_qsize 5, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 3: training on 4643403 raw words (2379195 effective words) took 34.7s, 68577 effective words/s
INFO:root:Loss after epoch 3: 451000.0
INFO:gensim.models.word2vec:EPOCH 4 - PROGRESS: at 2.79% examples, 64712 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 4 - PROGRESS: at 5.80% examples, 67749 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 4 - PROGRESS: at 8.81% examples, 68026 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 4 - PROGRESS: at 11.82% examples, 68218 words/s, in_qsize 0, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 4 - PROGRESS: at 14.61% examples, 67559 words/s, in_qsize 1, out_qsize 0
INFO:gensim.models.word2vec:EPOCH 4 - PROGRESS: at 17.62% examples, 67766 words/s, in_qsize 0, out_qsize 0
